SITE_NO,airport_id,name,CITY,state,STATE_NAME,lat,long,latitude,longitude,ELEV,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,towered_status,airspace_b
103,0J0,ABBEVILLE MUNI,ABBEVILLE,AL,ALABAMA,31.60172027,-85.23854472,31.60172027,-85.23854472,468.3,PU,PU,Non-towered,
110,EET,SHELBY COUNTY,ALABASTER,AL,ALABAMA,33.17777777,-86.78322222,33.17777777,-86.78322222,585.6,PU,PU,Non-towered,
112.1,BFZ,ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD,ALBERTVILLE,AL,ALABAMA,34.22911111,-86.25575,34.22911111,-86.25575,1032.3,PU,PU,Non-towered,
116,ALX,THOMAS C RUSSELL FLD,ALEXANDER CITY,AL,ALABAMA,32.91475,-85.96294444,32.91475,-85.96294444,685.8,PU,PU,Non-towered,
119,AIV,GEORGE DOWNER,ALICEVILLE,AL,ALABAMA,33.10674444,-88.197175,33.10674444,-88.197175,150,PU,PU,Non-towered,
124,79J,SOUTH ALABAMA RGNL AT BILL BENTON FLD,ANDALUSIA,AL,ALABAMA,31.30836111,-86.39222222,31.30836111,-86.39222222,310.2,PU,PU,Non-towered,
128,ANB,ANNISTON RGNL,ANNISTON,AL,ALABAMA,33.58816666,-85.85811111,33.58816666,-85.85811111,612,PU,PU,Non-towered,
135,26A,ASHLAND/LINEVILLE,ASHLAND/LINEVILLE,AL,ALABAMA,33.28419722,-85.80896527,33.28419722,-85.80896527,1065,PU,PU,Non-towered,
140.1,0R1,ATMORE MUNI,ATMORE,AL,ALABAMA,31.01613888,-87.44675,31.01613888,-87.44675,286,PU,PU,Non-towered,
146,AUO,AUBURN UNIVERSITY RGNL,AUBURN,AL,ALABAMA,32.61511111,-85.434,32.61511111,-85.434,776.8,PU,PU,Towered,
155,1R8,BAY MINETTE MUNI,BAY MINETTE,AL,ALABAMA,30.87033333,-87.81933333,30.87033333,-87.81933333,248.1,PU,PU,Non-towered,
157.1,EKY,BESSEMER NTL,BESSEMER,AL,ALABAMA,33.31261111,-86.92630555,33.31261111,-86.92630555,699.6,PU,PU,Non-towered,
164,BHM,BIRMINGHAM-SHUTTLESWORTH INTL,BIRMINGHAM,AL,ALABAMA,33.56388888,-86.75230555,33.56388888,-86.75230555,650,PU,PU,Towered,
186,12J,BREWTON MUNI,BREWTON,AL,ALABAMA,31.05071138,-87.06726666,31.05071138,-87.06726666,98.8,PU,PU,Non-towered,
199.1,09A,BUTLER/CHOCTAW COUNTY,BUTLER,AL,ALABAMA,32.11930555,-88.12747222,32.11930555,-88.12747222,133.7,PU,PU,Non-towered,
207.1,61A,CAMDEN MUNI,CAMDEN,AL,ALABAMA,31.97975,-87.33911111,31.97975,-87.33911111,142.9,PU,PU,Non-towered,
218.12,PYP,CENTRE PIEDMONT/CHEROKEE COUNTY RGNL,CENTRE,AL,ALABAMA,34.08991666,-85.61008333,34.08991666,-85.61008333,594.6,PU,PU,Non-towered,
218.7,0A8,BIBB COUNTY,CENTREVILLE,AL,ALABAMA,32.93693888,-87.09054722,32.93693888,-87.09054722,250.9,PU,PU,Non-towered,
226.5,5R1,ROY WILCOX,CHATOM,AL,ALABAMA,31.45166688,-88.19442663,31.45166688,-88.19442663,166,PU,PU,Non-towered,
233,02A,CHILTON COUNTY,CLANTON,AL,ALABAMA,32.85048447,-86.61143247,32.85048447,-86.61143247,584.7,PU,PU,Non-towered,
234,11A,CLAYTON MUNI,CLAYTON,AL,ALABAMA,31.88332444,-85.48522472,31.88332444,-85.48522472,434.9,PU,PU,Non-towered,
