airport_id,date_visited,callsign,notes
CDW,12/3/2025,N711AV,"Multi currency flight, ILS24, 3 night landings.  Murad Gabr, 4374364CFI, RE 3/27"
ABE,12/3/2025,N711AV,"Multi currency flight, ILS24, 3 night landings.  Murad Gabr, 4374364CFI, RE 3/27"
4N1,11/23/2025,N316AS,Inst/Commercial training for Heather Tadlock.
MGJ,11/23/2025,N316AS,Inst/Commercial training for Heather Tadlock.
4N1,11/15/2025,N2393Z,VFR rental 3 landings
MGJ,11/15/2025,N2393Z,VFR rental 3 landings
4N1,11/2/2025,N316AS,IFR final part 1
CDW,10/25/2025,N5789S,VFR XC Mooney time with Frank Lazzaro
MSV,10/25/2025,N5789S,VFR XC Mooney time with Frank Lazzaro
MFV,10/22/2025,N4775F,VFR XC night solo.  Accomack to Caldwell.
CDW,10/22/2025,N4775F,VFR XC night solo.  Accomack to Caldwell.
MYR,10/22/2025,N4775F,VFR XC solo from Myrtle Beach to Accomack.
MCZ,10/21/2025,N4775F,"VFR XC solo Martin County to Myrtle Beach, SC.  USCGR"
MYR,10/21/2025,N4775F,"VFR XC solo Martin County to Myrtle Beach, SC.  USCGR"
CDW,10/21/2025,N4775F,"VFR XC solo - Caldwell to Martin County, NC - USCGR"
4N1,10/5/2025,N316AS,Instrument stage check Joe Nedick. SAT
4N1,10/4/2025,N9563A,C172 checkout & WINGS credit
MGJ,10/4/2025,N9563A,C172 checkout & WINGS credit
CDW,9/24/2025,N283WT,Caldwell to home after airshow
4N1,9/24/2025,N283WT,Caldwell to home after airshow
5B2,9/21/2025,N283WT,VFR fm Saratoga
CDW,9/21/2025,N283WT,VFR fm Saratoga
CDW,9/20/2025,N283WT,VFR to Saratoga for balloon festival
5B2,9/20/2025,N283WT,VFR to Saratoga for balloon festival
DXR,9/19/2025,N283WT,USCGR VFR solo Danbury for fuel. Caldwell for airshow weekend
CDW,9/19/2025,N283WT,USCGR VFR solo Danbury for fuel. Caldwell for airshow weekend
4N1,9/19/2025,N283WT,VFR XC to CG Air Station Cape Cod.  LCDR Florio retirement.
ISP,9/14/2025,N283WT,VFR night XC home from Islip.
4N1,9/14/2025,N283WT,VFR night XC home from Islip.
OWD,9/13/2025,N283WT,VFR XC flight for Sheldon.
4N1,9/13/2025,N283WT,VFR XC flight for Sheldon.
4N1,9/12/2025,N6624B,Flight Review for Andreas Meyer.
FWN,9/12/2025,N6624B,Flight Review for Andreas Meyer.
OWD,9/10/2025,N283WT,"IFC XC solo.  RNAV24 with hold at WAMUV, circle to RWY06"
4N1,9/10/2025,N283WT,"IFC XC solo.  RNAV24 with hold at WAMUV, circle to RWY06"
OWD,8/31/2025,N283WT,VFR night XC home from Norwood
4N1,8/31/2025,N283WT,VFR night XC home from Norwood
4N1,8/30/2025,N283WT,VFR to Boston with Isa. Fenway - Red Socks v. Pirates. Coheed and Cambria w/ Taking back Sunday.
OWD,8/30/2025,N283WT,VFR to Boston with Isa. Fenway - Red Socks v. Pirates. Coheed and Cambria w/ Taking back Sunday.
W05,8/29/2025,N283WT,VFR XC training with Sheldon Teperman.
4N1,8/29/2025,N283WT,VFR XC training with Sheldon Teperman.
